Cliente	Fecha	Pedido	Precio	Producto	Nombre_producto	Importancia		0.314049587		Etiquetas de fila	Suma de Importancia	Suma de Importancia2		Etiquetas de fila	Suma de Importancia	Suma de Importancia2
Cliente21	28/08/2017	4	1100	VER0050	Rúgula / Libra	4400										
Cliente21	28/08/2017	4	1900	VER0009	Brócoli / Libra	7600										
Cliente21	28/08/2017	4	1200	FRU0019	Guayaba / Libra	4800										
Cliente21	28/08/2017	4	2200	VER0043	Repollo Morado / Unidad	8800										
Cliente21	28/08/2017	6	700	VER0006	Ahuyama / Libra	4200										
Cliente21	28/08/2017	10	1500	TUB0012	Zanahoria / Libra	15000										
Cliente21	28/08/2017	10	1800	VER0013	Cebolla Cabezona Roja / Libra	18000										
Cliente21	28/08/2017	4	1100	VER0010	Zucchini Verde / Libra	4400										
Cliente21	28/08/2017	2	7000	VER0016	Champiñón / Libra	14000										
Cliente21	28/08/2017	16	1400	FRU0046	Tomate Chonto / Libra	22400										
Cliente16	28/08/2017	100	2200	FRU0002	Aguacate Haas / Libra	220000										
Cliente26	27/08/2017	4	1600	VER0041	Puerro / Libra	6400										
Cliente26	27/08/2017	16	1600	FRU0048	Tomate Larga Vida / Libra	25600										
Cliente26	27/08/2017	28	1500	TUB0012	Zanahoria / Libra	42000										
Cliente26	27/08/2017	14	1100	VER0010	Zucchini Verde / Libra	15400										
Cliente26	27/08/2017	50	1100	VER0052	Plátano Maduro / Libra	55000										
Cliente26	27/08/2017	20	1600	VER0038	Pimentón Rojo / Libra	32000										
Cliente26	27/08/2017	40	1400	VER0012	Cebolla Cabezona Blanca / Libra	56000										
Cliente26	27/08/2017	4	1500	VER0007	Berenjena / Libra	6000										
Cliente29	26/08/2017	5	1100	FRU0040	Pera Importada / Unidad	5500										
Cliente29	26/08/2017	1	2200	FRU0033	Mora Castilla / Libra	2200										
Cliente29	26/08/2017	4	1000	FRU0055	Mandarina Oneco / Libra	4000										
Cliente29	26/08/2017	1	4500	FRU0022	Kiwi / Libra	4500										
Cliente29	26/08/2017	2	2300	FRU0054	Fresa Grande / Libra	4600										
Cliente29	26/08/2017	1	2500	FRU0015	Feijoa / Libra	2500										
Cliente29	26/08/2017	1	2000	FRU0012	Ciruela / Libra	2000										
Cliente29	26/08/2017	6	1100	FRU0008	Banano Criollo / Libra	6600										
Cliente29	26/08/2017	9	1400	FRU0046	Tomate Chonto / Libra	12600										
Cliente29	26/08/2017	2	800	VER0035	Pepino Cohombro / Libra	1600										
Cliente29	26/08/2017	8	1400	VER0028	Lechuga Crespa / Unidad	11200										
Cliente29	26/08/2017	3	7000	VER0016	Champiñón / Libra	21000										
